Route,Time_Seconds,Cars,Motorcycles,Buses,Trucks,Total_Vehicles,Density,Congestion_Level,Congestion_Code
Route A,5.0,15,0,2,2,19,0.38,Moderate,1
Route A,10.0,14,0,0,1,15,0.3,Moderate,1
Route A,15.0,15,0,1,6,22,0.44,Moderate,1
Route A,20.0,27,0,1,5,33,0.66,High,2
Route A,25.0,23,0,2,5,30,0.6,High,2
Route A,30.0,22,0,3,4,29,0.58,Moderate,1
Route A,35.0,19,0,1,3,23,0.46,Moderate,1
Route B,4.97,4,0,0,0,4,0.08,Low,0
Route B,9.94,13,0,0,3,16,0.32,Moderate,1
Route B,14.91,13,0,0,3,16,0.32,Moderate,1
Route B,19.89,12,0,1,0,13,0.26,Low,0
